state,product_,date,created_by,leads,prelim_quotes,final_qotes,purchases,cr
az,ho6,8/14/2018,Online,3,2,1,0,0
az,ho3,8/15/2018,Agent,1,1,0,0,0
az,ho3,8/15/2018,Online,9,7,5,1,0.111111111
az,ho6,8/15/2018,Online,2,2,0,0,0
az,ho3,8/16/2018,Agent,0,0,0,0,0
az,ho3,8/16/2018,Online,1,1,0,0,0
az,ho6,8/16/2018,Online,1,0,0,0,0
az,ho3,8/17/2018,Online,17,8,4,0,0
az,ho6,8/17/2018,Online,2,2,1,0,0
az,ho3,8/18/2018,Agent,2,2,1,2,1
az,ho3,8/18/2018,Online,11,4,1,0,0
az,ho6,8/18/2018,Agent,1,1,1,1,1
az,ho6,8/18/2018,Online,0,0,0,0,0
az,ho3,8/19/2018,Agent,2,2,2,2,1
az,ho3,8/19/2018,Online,9,7,2,1,0.111111111
az,ho3,8/20/2018,Agent,2,2,2,1,0.5
az,ho3,8/20/2018,Online,16,10,4,1,0.0625
az,ho6,8/20/2018,Online,1,0,0,0,0
az,ho3,8/21/2018,Agent,1,1,1,1,1
az,ho3,8/21/2018,Online,17,12,3,0,0
az,ho6,8/21/2018,Online,1,0,0,0,0
az,ho3,8/22/2018,Agent,1,1,0,0,0
az,ho3,8/22/2018,Online,27,16,5,2,0.074074074
az,ho6,8/22/2018,Online,5,3,0,0,0
az,ho3,8/23/2018,Agent,2,1,1,0,0
az,ho3,8/23/2018,Online,27,15,2,0,0
az,ho6,8/23/2018,Online,1,1,1,1,1
az,ho3,8/24/2018,Online,14,10,2,0,0
az,ho6,8/24/2018,Online,1,1,0,0,0
az,ho3,8/25/2018,Online,5,4,3,2,0.4
az,ho6,8/25/2018,Online,3,1,0,0,0
az,ho3,8/26/2018,Agent,2,2,2,2,1
az,ho3,8/26/2018,Online,8,5,3,0,0
az,ho6,8/26/2018,Online,3,2,2,1,0.333333333
az,ho3,8/27/2018,Online,9,7,3,1,0.111111111
az,ho6,8/27/2018,Online,2,1,0,0,0
az,ho3,8/28/2018,Agent,1,1,0,0,0
az,ho3,8/28/2018,Online,11,7,3,0,0
az,ho6,8/28/2018,Online,2,1,1,0,0
az,ho3,8/29/2018,Agent,2,0,0,0,0
